Mon Jun  7 19:41:00 CDT 2021,    3625    7250  181250
Mon Jun  7 19:41:10 CDT 2021,    3635    7270  181750
Mon Jun  7 19:41:21 CDT 2021,    3643    7286  182150
Mon Jun  7 19:41:32 CDT 2021,    3652    7304  182600
Mon Jun  7 19:42:59 CDT 2021,3714
Mon Jun  7 19:43:10 CDT 2021,3722
Mon Jun  7 19:43:20 CDT 2021,3730
Mon Jun  7 19:43:31 CDT 2021,3738
Mon Jun  7 19:43:42 CDT 2021,3748
Mon Jun  7 19:43:52 CDT 2021,3759
Mon Jun  7 19:44:03 CDT 2021,3769
Mon Jun  7 19:44:14 CDT 2021,3780
Mon Jun  7 19:44:24 CDT 2021,3797
Mon Jun  7 19:44:40 CDT 2021,3806
Mon Jun  7 19:44:51 CDT 2021,3816
Mon Jun  7 19:45:01 CDT 2021,3825
Mon Jun  7 19:45:12 CDT 2021,3835
Mon Jun  7 19:45:23 CDT 2021,3841
Mon Jun  7 19:45:33 CDT 2021,3847
Mon Jun  7 19:45:44 CDT 2021,3856
Mon Jun  7 19:45:55 CDT 2021,3862
Mon Jun  7 19:46:05 CDT 2021,3870
Mon Jun  7 19:46:16 CDT 2021,3878
Mon Jun  7 19:46:27 CDT 2021,3887
,3912
19:47:37,3935
19:47:48,3945
19:47:59,3949
19:48:09,3958
2021-06-07_19-48-18,3965
2021-06-07_19-48-28,3974
2021-06-07_19-48-39,3983
2021-06-07_19-48-49,3993
2021-06-07_19-49-00,4002
2021-06-07_19-49-11,4012
2021-06-07_19-49-22,4021
2021-06-07_19-49-32,4031
2021-06-07_19-49-44,4040
2021-06-07_19-49-54,4048
2021-06-07_19-50-05,4058
2021-06-07_19-50-16,4063
2021-06-07_19-50-26,4070
,4074
,4081
2021-06-07T19:52:01,4124
2021-06-07T19:52:13,4130
2021-06-07T19:52:24,4137
2021-06-07T19:52:35,4143
2021-06-07T19:52:45,4153
2021-06-07T19:52:56,4161
2021-06-07T19:53:07,4167
2021-06-07T19:53:18,4177
2021-06-07T19:53:28,4186
2021-06-07T19:53:40,4195
2021-06-07T19:53:50,4203
2021-06-07T19:54:01,4212
2021-06-07T19:54:12,4220
2021-06-07T19:54:22,4227
2021-06-07T19:54:33,4235
2021-06-07T19:54:44,4242
2021-06-07T19:54:55,4249
2021-06-07T19:55:06,4257
2021-06-07T19:55:16,4263
2021-06-07T19:55:27,4270
2021-06-07T19:55:38,4275
2021-06-07T19:55:49,4279
2021-06-07T19:55:59,4286
2021-06-07T19:56:10,4293
2021-06-07T19:56:21,4299
2021-06-07T19:56:31,4305
2021-06-07T19:56:42,4312
2021-06-07T19:56:55,4319
2021-06-07T19:57:05,4327
2021-06-07T19:57:16,4334
2021-06-07T19:57:27,4343
2021-06-07T19:57:38,4352
2021-06-07T19:57:49,4359
2021-06-07T19:57:59,4369
2021-06-07T19:58:10,4374
2021-06-07T19:58:21,4381
2021-06-07T19:58:31,4390
2021-06-07T19:58:42,4399
2021-06-07T19:58:53,4407
2021-06-07T19:59:04,4414
2021-06-07T19:59:14,4419
2021-06-07T19:59:25,4425
2021-06-07T19:59:36,4431
2021-06-07T19:59:46,4437
2021-06-07T19:59:58,4444
2021-06-07T20:00:09,4449
2021-06-07T20:00:20,4454
2021-06-07T20:00:31,4462
2021-06-07T20:00:42,4467
2021-06-07T20:00:53,4472
2021-06-07T20:01:03,4477
2021-06-07T20:01:14,4484
2021-06-07T20:01:25,4491
2021-06-07T20:01:35,4497
2021-06-07T20:01:46,4505
2021-06-07T20:01:57,4512
2021-06-07T20:02:07,4521
2021-06-07T20:02:20,4528
2021-06-07T20:02:31,4535
2021-06-07T20:02:41,4543
2021-06-07T20:02:52,4550
2021-06-07T20:03:03,4556
2021-06-07T20:03:14,4561
2021-06-07T20:03:24,4568
2021-06-07T20:03:35,4575
2021-06-07T20:03:46,4581
2021-06-07T20:03:57,4588
2021-06-07T20:04:08,4596
2021-06-07T20:04:19,4600
2021-06-07T20:04:30,4606
2021-06-07T20:04:40,4613
2021-06-07T20:04:51,4618
2021-06-07T20:05:02,4625
